prediction,p1,p2
class_8,0.000042,0.012496
class_9,0.117289,0.000000
class_9,0.002207,0.000000
class_4,0.108333,0.000000
class_1,0.999499,0.000000
class_1,0.693432,0.000000
class_4,0.000016,0.000000
class_3,0.000139,0.000627
class_6,0.010764,0.000000
class_8,0.000000,0.002281
class_9,0.004235,0.000000
class_1,0.738720,0.000000
class_4,0.000033,0.000012
class_2,0.000000,0.386929
class_10,0.000000,0.000000
class_6,0.001984,0.000000
class_6,0.000956,0.000000
class_6,0.007275,0.001834
class_1,0.996902,0.000000
class_9,0.225649,0.000000
class_6,0.263446,0.000000
class_8,0.000000,0.000001
class_3,0.000017,0.148932
class_8,0.000010,0.029490
class_7,0.000000,0.337588
class_9,0.000674,0.000000
class_3,0.002535,0.000102
class_2,0.000007,0.595479
class_7,0.018452,0.000725
class_2,0.000001,0.856352
class_10,0.000005,0.000000
class_8,0.002336,0.003310
class_8,0.000031,0.000001
class_8,0.000000,0.001324
class_4,0.000297,0.000000
class_4,0.269343,0.000000
class_2,0.000000,0.905428
class_8,0.000010,0.000909
class_10,0.000000,0.000000
class_5,0.165982,0.000000
class_4,0.000378,0.000000
class_2,0.000000,0.939093
class_7,0.001006,0.002406
class_6,0.042236,0.000000
class_7,0.000293,0.002350
class_3,0.001314,0.008088
class_3,0.002495,0.003302
class_6,0.029380,0.000000
class_7,0.000114,0.019954
class_9,0.000190,0.000000
class_1,0.932236,0.000000
class_4,0.000036,0.000000
class_8,0.000000,0.048263
class_3,0.000336,0.035084
class_9,0.141657,0.000000
class_9,0.002063,0.000000
class_9,0.002512,0.000000
class_9,0.000653,0.000000
class_3,0.008067,0.002053
class_5,0.000712,0.000000
class_3,0.000149,0.311673
class_8,0.066008,0.000009
class_5,0.000456,0.000000
class_7,0.000001,0.005319
class_6,0.000374,0.000000
class_1,0.831399,0.000000
class_3,0.000007,0.094215
class_8,0.000290,0.000004
class_2,0.000001,0.609458
class_2,0.000000,0.859394
class_3,0.014672,0.000001
class_3,0.004293,0.000000
class_10,0.000000,0.000000
class_7,0.000018,0.001398
class_10,0.000000,0.000000
class_1,0.503375,0.000000
class_7,0.000019,0.000028
class_5,0.005486,0.000000
class_10,0.000000,0.000059
class_8,0.000000,0.000119
