prediction,p1,p2
class_7,0.000000,0.000000
class_6,0.000088,0.000000
class_3,0.000000,0.007319
class_5,0.000000,0.000000
class_1,0.982924,0.000000
class_2,0.000000,0.999383
class_6,0.000690,0.000000
class_6,0.000010,0.000000
class_7,0.000000,0.000004
class_7,0.000000,0.000397
class_4,0.299282,0.000000
class_3,0.000000,0.000000
class_6,0.000000,0.000000
class_6,0.000715,0.000000
class_8,0.000000,0.000000
class_4,0.072854,0.000000
class_2,0.000000,0.999951
class_10,0.000000,0.000000
class_10,0.000000,0.000000
class_8,0.004214,0.000000
class_7,0.000000,0.048665
class_6,0.000000,0.000000
class_7,0.000000,0.009025
class_7,0.000000,0.000000
class_5,0.000140,0.000000
class_6,0.000000,0.000000
class_3,0.000000,0.000004
class_5,0.000000,0.000000
class_7,0.000000,0.002091
class_6,0.000000,0.000000
class_4,0.000000,0.000000
class_8,0.000000,0.000000
class_1,0.981874,0.000000
class_9,0.142316,0.000000
class_5,0.000639,0.000000
class_10,0.000000,0.000500
class_2,0.000000,0.999307
class_9,0.000226,0.000000
class_3,0.000000,0.000610
class_2,0.000000,0.999990
class_6,0.000000,0.000000
class_8,0.000000,0.000000
class_4,0.029028,0.000000
class_2,0.000000,0.999992
class_5,0.005485,0.000000
class_1,0.968577,0.000000
class_4,0.010109,0.000000
class_5,0.033724,0.000000
class_10,0.000000,0.000000
class_2,0.000000,0.999977
class_6,0.000000,0.000000
class_6,0.000634,0.000000
class_8,0.000000,0.000000
class_2,0.000000,0.997208
class_1,0.999822,0.000000
class_6,0.000000,0.000000
class_6,0.000000,0.000000
class_1,0.989374,0.000000
class_2,0.000000,0.999564
class_1,0.999989,0.000000
class_7,0.000000,0.074734
class_9,0.000228,0.000000
class_2,0.000000,0.556728
class_8,0.000008,0.000000
class_3,0.000000,0.000000
class_5,0.000395,0.000000
class_2,0.000000,0.999926
class_1,0.566007,0.000000
class_6,0.000000,0.000000
class_4,0.019965,0.000000
class_6,0.000000,0.000000
class_8,0.000000,0.000000
class_4,0.000151,0.000000
class_7,0.000000,0.000000
class_3,0.000000,0.001826
class_2,0.000000,0.999988
class_2,0.000000,0.622674
class_3,0.000000,0.000000
class_2,0.000000,0.999686
class_9,0.006350,0.000000
