prediction,p1,p2
class_8,0.000149,0.000000
class_6,0.000852,0.000000
class_3,0.000001,0.002672
class_5,0.000000,0.000139
class_1,0.453889,0.000000
class_2,0.000000,0.985485
class_1,0.485373,0.000000
class_1,0.986372,0.000000
class_8,0.000000,0.307305
class_7,0.000286,0.000262
class_1,0.976578,0.000000
class_2,0.000006,0.554016
class_6,0.059333,0.000000
class_6,0.419491,0.000000
class_8,0.000187,0.000000
class_4,0.005971,0.000000
class_7,0.008534,0.000000
class_10,0.000000,0.000000
class_10,0.000000,0.000000
class_4,0.033400,0.000000
class_10,0.000000,0.011724
class_6,0.006216,0.000000
class_10,0.000000,0.097170
class_8,0.000001,0.000000
class_8,0.001317,0.000000
class_3,0.011938,0.000001
class_3,0.000002,0.143424
class_10,0.000002,0.000000
class_2,0.000000,0.999304
class_6,0.005600,0.000000
class_4,0.000003,0.000000
class_8,0.000002,0.000331
class_6,0.004046,0.000000
class_5,0.000123,0.000000
class_5,0.000010,0.000000
class_10,0.000000,0.000000
class_3,0.000004,0.001128
class_9,0.000391,0.000000
class_3,0.000002,0.066222
class_2,0.000000,0.971633
class_6,0.366044,0.000000
class_8,0.000040,0.000694
class_1,0.689354,0.000000
class_10,0.000000,0.000045
class_5,0.078449,0.000000
class_8,0.000282,0.000000
class_4,0.048579,0.000000
class_5,0.031357,0.000000
class_10,0.000000,0.000000
class_2,0.000000,0.882098
class_6,0.009894,0.000000
class_7,0.118075,0.000000
class_1,0.325199,0.000000
class_8,0.001257,0.000000
class_9,0.010673,0.000000
class_6,0.000096,0.000000
class_1,0.729644,0.000000
class_1,0.990526,0.000000
class_7,0.000168,0.000096
class_1,0.831703,0.000000
class_7,0.000000,0.159344
class_9,0.000000,0.000000
class_5,0.000023,0.001673
class_3,0.002176,0.000040
class_7,0.000027,0.003440
class_5,0.006078,0.000000
class_7,0.000611,0.000130
class_5,0.064026,0.000000
class_6,0.049870,0.000000
class_1,0.948408,0.000000
class_3,0.000874,0.000000
class_8,0.000000,0.012161
class_4,0.001398,0.000000
class_3,0.000000,0.074207
class_3,0.000001,0.095199
class_2,0.000000,0.998769
class_2,0.000000,0.800629
class_7,0.001442,0.000042
class_10,0.000000,0.007953
class_1,0.672434,0.000000
