@relation samples_wavelet2dl.txt

@attribute label {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}
@attribute m1m numeric
@attribute m1s numeric
@attribute m2m numeric
@attribute m2s numeric
@attribute m3m numeric
@attribute m3s numeric
@attribute m4m numeric
@attribute m4s numeric
@attribute m5m numeric
@attribute m5s numeric
@attribute m6m numeric
@attribute m6s numeric
@attribute m7m numeric
@attribute m7s numeric
@attribute m8m numeric
@attribute m8s numeric
@attribute m9m numeric
@attribute m9s numeric
@attribute m10m numeric
@attribute m10s numeric
@attribute m11m numeric
@attribute m11s numeric
@attribute m12m numeric
@attribute m12s numeric
@attribute centm numeric
@attribute cents numeric
@attribute rollm numeric
@attribute rolls numeric
@attribute tonnm numeric
@attribute tonns numeric
@attribute zcrm numeric
@attribute zcrs numeric
@attribute tempom numeric
@attribute onsetm numeric
@attribute pitchm numeric
@attribute sam numeric
@attribute sbm numeric
@attribute kurtosis numeric
@attribute meauto numeric
@attribute skew numeric
@attribute timerev numeric

@data
class_1,0.381551,0.13577,0.382996,0.089275,0.381241,-0.160324,0.30026,0.063002,0.301103,-0.072246,0.156046,-0.104159,0.154773,-0.1121,0.064033,-0.158451,0.122534,-0.042957,0.049055,-0.122727,0.131965,-0.049028,0.030052,-0.186067,-0.45227,0.018876,-0.564446,-0.008001,0.298922,-0.063306,-0.340197,-0.076333,0.278977,-0.153734,-0.050541,-0.055124,0.559372,-0.003864,-0.037106,0.020683,0.005231
class_1,0.393902,0.039121,0.373547,0.181993,0.374329,-0.082443,0.328767,-0.230338,0.299688,-0.049165,0.160795,-0.158756,0.156694,-0.072021,0.078613,-0.20599,0.136344,-0.121402,0.052208,-0.118306,0.16282,-0.214802,0.022781,-0.192133,-0.442752,0.043884,-0.547875,0.064453,0.038883,-0.302289,-0.335888,-0.068287,0.278977,-0.153734,-0.050541,0.944511,-0.059968,-0.005159,-0.030982,0.01873,0.000155
class_1,-0.130704,0.060469,-0.035165,-0.006708,0.079802,-0.050432,0.052079,-0.058841,0.077852,0.032892,0.049544,0.058479,0.062655,0.110234,0.165887,0.032482,0.191637,-0.078404,0.123464,-0.042613,0.090598,0.303362,0.021197,0.038154,-0.121196,-0.082449,-0.166738,0.005852,0.02981,-0.075401,-0.115572,-0.171908,-0.036355,-0.073734,-0.050541,-0.055378,-0.059968,-0.012455,-0.076173,0.000377,0.003835
class_1,0.053491,0.107061,-0.080915,0.178214,0.046036,0.342809,-0.145677,0.286837,0.07219,0.108016,0.110935,-0.01382,0.091706,0.376569,0.278272,-0.071765,0.060895,0.117023,-0.093539,0.02336,0.171945,0.213551,0.165749,-0.031993,-0.17815,-0.083279,-0.24711,-0.036383,0.122936,0.023201,-0.159298,-0.066004,-0.080914,-0.0204,-0.050541,-0.055378,-0.059979,-0.0136,-0.292306,0.000987,0.003995
class_1,0.078546,0.17389,-0.038523,0.108579,0.242397,0.061938,0.134281,0.243235,0.14008,0.092662,0.166823,0.016567,0.156564,0.079989,0.077829,0.077969,0.128352,0.065169,0.071849,0.068283,0.303525,0.009268,0.031063,0.207569,-0.033052,0.095696,-0.026557,0.222703,0.027327,0.072832,-0.050285,0.026123,-0.059676,-0.0704,-0.023514,-0.055388,-0.059968,-0.011316,0.030987,0.011541,-0.025735
class_1,-0.048586,0.03456,-0.126645,-0.015499,-0.063404,0.089753,-0.199598,0.192965,0.052252,0.071627,0.068196,0.031899,0.102761,0.106242,0.151848,-0.048489,-0.066646,0.274849,0.22636,0.052962,0.230908,0.267951,0.127982,0.050316,-0.18227,-0.029057,-0.228161,0.090789,-0.039695,0.047191,-0.16288,-0.091997,-0.13491,-0.028734,-0.050541,-0.055357,-0.059968,-0.014056,-0.070969,0.000483,0.004097
class_1,-0.101104,-0.033669,-0.342991,-0.021616,-0.079435,-0.094177,-0.179078,-0.000508,-0.019333,0.003695,-0.007364,-0.023354,-0.081379,0.132099,0.196344,-0.082907,0.081187,0.022864,0.109008,0.108583,0.211831,0.028369,-0.008913,-0.015494,-0.231341,-0.079522,-0.326664,0.050971,0.23923,0.066336,-0.19419,-0.154576,-0.177725,-0.042622,-0.050541,-0.055357,-0.059944,-0.014134,0.313332,0.00223,0.00213
class_1,0.170602,0.430553,0.127804,0.503896,0.274367,0.102973,0.128107,0.353583,0.223577,0.03925,0.136514,0.019909,0.083093,0.133857,0.027247,0.028076,0.067158,0.049408,-0.003095,-0.021858,0.121906,0.031677,0.054095,-0.025711,-0.298246,0.195949,-0.389595,0.214033,0.010867,-0.161613,-0.233175,0.083164,-0.118353,-0.153734,-0.050541,0.436783,-0.059933,-0.01235,-0.117555,-0.0028,0.004686
class_1,0.222581,0.284713,0.028168,0.627485,0.087256,0.567575,0.153759,0.170242,0.090995,0.294474,0.082206,0.132846,0.172253,0.032839,0.12289,-0.023702,0.047058,0.07538,0.005845,0.030723,0.341628,0.240443,0.013979,0.001606,-0.21102,0.113245,-0.281875,0.221006,0.0559,0.140889,-0.229267,-0.099766,-0.164474,-0.153734,-0.050541,-0.007416,-0.059642,-0.013454,-0.031035,0.000945,-0.001487
class_1,-0.049576,0.268317,0.154444,0.065729,0.028066,0.203444,0.022174,0.281788,0.275301,0.105288,0.159157,0.051857,-0.045802,0.408029,-0.093301,0.41185,-0.217458,0.407619,-0.075018,0.173956,0.279515,0.36398,0.112744,0.318756,-0.087378,0.042139,-0.139865,0.034188,0.14996,0.18828,-0.07861,0.140223,0.219842,-0.084768,-0.050541,-0.055357,-0.059979,-0.014388,-0.143951,0.017228,0.024428
