@relation samples_wavelet3ap.txt

@attribute label {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}
@attribute m1m numeric
@attribute m1s numeric
@attribute m2m numeric
@attribute m2s numeric
@attribute m3m numeric
@attribute m3s numeric
@attribute m4m numeric
@attribute m4s numeric
@attribute m5m numeric
@attribute m5s numeric
@attribute m6m numeric
@attribute m6s numeric
@attribute m7m numeric
@attribute m7s numeric
@attribute m8m numeric
@attribute m8s numeric
@attribute m9m numeric
@attribute m9s numeric
@attribute m10m numeric
@attribute m10s numeric
@attribute m11m numeric
@attribute m11s numeric
@attribute m12m numeric
@attribute m12s numeric
@attribute centm numeric
@attribute cents numeric
@attribute rollm numeric
@attribute rolls numeric
@attribute tonnm numeric
@attribute tonns numeric
@attribute zcrm numeric
@attribute zcrs numeric
@attribute tempom numeric
@attribute onsetm numeric
@attribute pitchm numeric
@attribute sam numeric
@attribute sbm numeric
@attribute kurtosis numeric
@attribute meauto numeric
@attribute skew numeric
@attribute timerev numeric

@data
class_1,-0.602281,0.060041,-0.469282,-0.097934,0.007013,0.048148,0.218109,0.09407,0.227937,0.104848,-0.078318,0.062863,-0.405405,-0.0372,-0.139482,-0.119255,0.187589,-0.12094,0.090581,-0.223304,-0.32829,-0.106316,-0.089119,-0.177217,-0.456613,0.221424,-0.636319,0.216313,0.025033,-0.064396,-0.41603,0.135328,0.284715,-0.153734,-0.050541,0.522064,-0.062951,0.225769,-0.206514,-0.004001,-0.003103
class_1,-0.584943,0.14411,-0.442639,0.095407,0.026413,-0.071455,0.228396,0.023971,0.23898,0.029951,-0.04912,-0.152291,-0.382876,0.088863,-0.123047,-0.004937,0.193436,-0.035969,0.102052,-0.091515,-0.296958,0.055031,-0.04751,-0.098011,-0.488773,0.067958,-0.662931,0.119991,-0.062921,-0.165081,-0.447296,-0.013791,0.284715,-0.153734,-0.050541,-0.065772,0.936938,0.106802,-0.203918,0.030244,-0.003009
class_1,0.292719,-0.109781,0.222292,-0.140562,0.111355,0.075077,0.057342,0.09263,0.060764,0.088645,0.202756,-0.011559,0.15059,0.178058,0.129747,0.144799,0.098628,0.031656,0.107977,0.004874,0.061165,0.278141,0.082253,0.023204,-0.111346,0.062042,-0.028105,0.03979,0.017412,-0.083881,-0.15306,0.108174,-0.016285,-0.073734,-0.050541,-0.070966,-0.040509,-0.023387,0.216953,0.005086,-0.003147
class_1,-0.218805,-0.007421,-0.275946,-0.079031,-0.231636,0.445015,-0.11486,0.435988,-0.119864,0.404456,-0.380887,0.245856,-0.291961,0.193551,-0.095998,-0.10967,0.068373,0.40481,0.007694,0.323397,-0.207056,0.026026,-0.049841,-0.04016,0.304838,-0.074897,0.303519,-0.171817,-0.020606,0.015111,0.328224,-0.126591,-0.142891,-0.0204,-0.050541,-0.073562,-0.061855,-0.006394,-0.279717,0.001737,-0.000814
class_1,-0.219582,0.077127,-0.168943,0.042157,-0.00399,0.336852,0.099695,0.277147,0.093345,0.259707,-0.152076,0.312709,-0.288296,0.095857,-0.005752,0.095693,0.230681,0.053312,0.151339,0.146799,-0.195228,0.091007,0.036082,0.080988,0.136055,0.102506,0.178564,-0.018089,0.026153,0.006183,0.123429,0.165411,0.284715,-0.0704,-0.023514,-0.070697,-0.046982,0.032825,-0.22501,-0.045856,-0.000133
class_1,0.031734,-0.0813,-0.000558,0.032464,-0.069248,0.290743,-0.033801,0.274477,-0.036184,0.234718,-0.200525,-0.053642,-0.229004,0.23246,-0.158719,0.093859,-0.032476,0.474523,-0.122727,0.350825,-0.307534,0.233066,-0.064342,0.105989,0.137922,-0.012053,0.135114,-0.066561,-0.062912,-0.024152,0.136714,-0.041542,-0.237789,-0.028734,-0.050541,-0.073249,-0.062058,-0.020352,-0.354107,-0.000931,0.012523
class_1,-0.127654,-0.090706,-0.310015,-0.01407,-0.479376,0.093623,-0.394436,0.115679,-0.399735,0.122579,-0.48365,-0.031626,0.028899,0.197579,0.23165,0.109349,0.171145,0.187906,0.208004,0.135192,0.06948,0.238806,-0.434165,0.055649,0.511227,-0.146826,0.32792,-0.239346,0.022172,0.086038,0.552704,-0.155209,-0.086171,-0.042622,-0.050541,-0.074312,-0.062159,-0.012159,-0.15853,-0.0017,-0.003468
class_1,-0.421378,0.234838,-0.42349,0.048778,-0.181915,0.395864,-0.002982,0.444567,-0.001782,0.443479,-0.294716,0.48041,-0.351156,0.294033,-0.108872,0.054053,0.12844,0.107667,0.056693,-0.05927,-0.271162,0.219621,-0.167061,0.073514,-0.012057,0.585039,-0.133038,0.568569,-0.042713,-0.026579,0.016095,0.546518,-0.047597,-0.153734,-0.050541,-0.072365,0.42837,0.022015,-0.219669,0.001514,-0.003072
class_1,-0.39924,0.242166,-0.412309,-0.006579,-0.200955,0.356425,-0.04412,0.452046,-0.038886,0.432092,-0.305608,0.400029,-0.338166,0.188903,-0.18035,0.020556,0.02671,0.452781,-0.034029,0.417693,-0.251772,0.034351,-0.050878,0.015098,0.226488,0.324957,0.18699,0.403545,0.023938,0.126712,0.138879,0.306239,0.066088,-0.153734,-0.050541,-0.017016,-0.024997,-0.01753,-0.349639,0.006659,-0.103653
class_1,-0.130938,-0.057497,-0.284447,0.074151,-0.398975,0.330621,-0.318913,0.302928,-0.321421,0.27737,-0.451594,0.135708,-0.105718,0.239985,-0.026239,0.114247,-0.030381,0.494669,-0.035305,0.400735,-0.092912,0.254798,-0.248442,0.233986,0.387788,-0.049369,0.309692,-0.178283,0.008769,0.033791,0.404657,-0.031681,0.284715,-0.084768,-0.050541,-0.073741,-0.062433,-0.017397,-0.260459,-0.003052,-0.003058
class_1,-0.14055,0.09337,-0.118525,-0.116337,-0.083292,0.434166,-0.015479,0.438212,-0.018664,0.419175,-0.160733,0.273831,-0.123981,0.225112,0.114082,0.037948,0.225059,0.289283,0.186505,0.198771,-0.070772,0.129072,-0.081295,0.139005,0.090892,0.31457,0.120139,0.23036,-0.001319,-0.02374,0.054955,0.432045,0.41059,-0.042622,-0.050541,-0.015304,-0.031256,-0.006284,-0.19124,-0.008885,-0.002761
class_1,0.094911,-0.082046,0.077892,0.140093,-0.061949,0.341471,-0.078559,0.319579,-0.068135,0.290377,-0.044429,0.096025,0.045052,0.296025,0.075136,0.23415,0.040594,0.445576,0.028619,0.384805,0.042757,0.322635,0.181554,0.141704,0.096388,0.208899,0.101508,0.150091,0.019519,-0.025901,0.096878,0.268931,-0.107598,-0.091234,-0.050541,-0.068917,-0.05872,-0.022689,-0.219016,0.001651,-0.045018
class_1,-0.472342,0.411758,-0.342701,0.448501,0.033046,0.082884,0.194762,0.173788,0.202657,0.172099,-0.035858,-0.077405,-0.30582,0.322673,-0.063883,0.183525,0.198271,-0.033773,0.119624,-0.138926,-0.240937,0.244674,-0.063767,-0.182902,-0.407168,0.238753,-0.555093,0.276108,-0.021374,-0.124014,-0.383793,0.18975,0.492405,0.000112,0.030541,0.653915,0.156271,0.061212,-0.130592,-0.029257,-0.003805
