@relation train_samples_unt

@attribute label {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}
@attribute m1m numeric
@attribute m1s numeric
@attribute m2m numeric
@attribute m2s numeric
@attribute m3m numeric
@attribute m3s numeric
@attribute m4m numeric
@attribute m4s numeric
@attribute m5m numeric
@attribute m5s numeric
@attribute m6m numeric
@attribute m6s numeric
@attribute m7m numeric
@attribute m7s numeric
@attribute m8m numeric
@attribute m8s numeric
@attribute m9m numeric
@attribute m9s numeric
@attribute m10m numeric
@attribute m10s numeric
@attribute m11m numeric
@attribute m11s numeric
@attribute m12m numeric
@attribute m12s numeric
@attribute centm numeric
@attribute cents numeric
@attribute rollm numeric
@attribute rolls numeric
@attribute tonnm numeric
@attribute tonns numeric
@attribute zcrm numeric
@attribute zcrs numeric
@attribute rmsem numeric
@attribute rmses numeric
@attribute tempom numeric
@attribute onsetm numeric
@attribute pitchm numeric
@attribute wavea1 numeric
@attribute waved1 numeric
@attribute wavea2 numeric
@attribute waved2 numeric
@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute msd numeric
@attribute mc numeric
@attribute sam numeric
@attribute sbm numeric
@attribute kurtosis numeric
@attribute meauto numeric
@attribute skew numeric
@attribute timerev numeric

@data
class_9,-0.036644,0.158115,-0.145132,0.065556,0.086203,0.036314,0.0728,0.140863,-0.065601,0.141047,-0.169228,0.299147,-0.068233,0.1006,0.072109,0.062777,0.228464,0.280282,0.346844,0.708289,0.197561,0.426069,-0.12538,0.313126,-0.2314,0.164537,-0.363262,0.015864,0.23133,0.284568,-0.124278,0.055786,0.023879,0.290964,0.269624,0.131986,-0.050541,0.122568,-0.099668,0.119811,0.068329,0.296068,-0.459185,0.278809,-0.485496,0.00777,0.009527,-0.072355,0.500514,-0.012176,-0.113427,0.002049,0.064212
class_3,-0.012509,-0.178145,-0.011048,-0.158264,0.015667,-0.172327,-0.086525,-0.095027,-0.066829,-0.101624,-0.02148,-0.160435,-0.091393,-0.078096,-0.011281,-0.112468,-0.087931,-0.088099,-0.086816,-0.113361,-0.044102,-0.135955,-0.040256,-0.127975,0.015726,-0.221488,0.068352,-0.187036,-0.025276,-0.224971,-0.004392,-0.131695,0.027067,-0.02494,-0.020097,0.512926,-0.050541,0.007048,-0.018461,0.007996,-0.030362,-0.117254,0.207904,-0.100799,0.197522,-0.019257,0.003407,-0.071169,-0.06014,-0.012597,-0.001479,0.000909,0.003792
class_1,0.011765,0.137951,-0.086342,0.068092,0.027316,-0.217619,-0.077124,-0.005555,0.067105,-0.207706,-0.02781,-0.155987,0.038409,-0.120548,-0.048511,-0.148848,0.010914,-0.160653,-0.054538,-0.202744,0.021612,-0.149475,-0.026609,-0.212357,-0.334938,0.03652,-0.44419,-0.017905,0.057554,-0.056714,-0.224003,-0.03532,-0.134807,-0.028127,0.269624,-0.153734,-0.050541,-0.105896,-0.108591,-0.105185,-0.098606,0.28231,-0.389947,0.234756,-0.303624,0.004188,0.001911,0.524061,-0.06161,0.01078,-0.149518,0.027905,0.001599
class_3,-0.09496,-0.115288,0.003991,-0.156706,-0.100649,-0.150286,-0.055292,-0.098753,0.068947,-0.136177,-0.104783,-0.096172,-0.158253,-0.059629,-0.027232,-0.086732,-0.138867,-0.066213,-0.069598,-0.082793,-0.067939,-0.109762,-0.090566,-0.102838,0.124862,-0.046942,0.134089,0.012203,-0.04715,-0.241443,0.1709,0.019116,0.077901,0.040156,0.008222,-0.153734,-0.050541,0.066939,0.060818,0.063064,0.115416,0.100488,-0.0045,0.099837,-0.028098,0.00382,0.001447,-0.072243,-0.061377,-0.012633,-0.135101,0.000702,0.001466
class_4,-0.121822,0.151889,0.00828,0.03186,0.02355,0.310103,-0.000142,0.093981,-0.01726,0.230157,-0.008048,0.180267,0.137365,0.203899,0.068015,0.245473,0.073402,0.18044,0.007972,0.285572,0.184679,0.408313,0.239084,0.398444,0.089066,0.09427,0.086835,0.038336,-0.00485,0.234869,0.051674,0.115198,-0.039584,0.004747,0.159266,0.068486,-0.050541,-0.041264,0.000308,-0.044732,0.032251,0.268884,-0.338806,0.243127,-0.329966,0.004184,0.002058,-0.067165,-0.052515,-0.01184,-0.155568,-0.001476,0.001598
class_7,0.175603,-0.212936,0.14565,-0.205434,0.115887,-0.249262,0.133246,-0.101516,0.015973,-0.150282,0.102269,-0.156615,0.03079,-0.13101,-0.016557,-0.112805,0.112608,-0.13708,0.030437,-0.107702,0.050665,-0.193044,0.068038,-0.156998,-0.292752,-0.265742,-0.407172,-0.256259,0.374611,0.000423,-0.20801,-0.202956,0.131387,-0.011637,-0.045708,-0.153734,-0.050541,0.10872,-0.120454,0.111362,-0.142223,-0.627427,0.400822,-0.583439,0.436897,0.025953,0.038662,-0.06797,-0.058264,-0.012384,0.484573,-0.021018,0.005295
class_9,-0.015967,0.140049,-0.113181,0.196389,-0.018097,0.097978,0.034123,0.119308,-0.130003,0.251892,-0.102792,0.175893,-0.005826,-0.002718,0.044248,0.164257,0.197705,0.379571,0.040563,0.073942,-0.027668,0.196815,0.037628,0.304914,-0.18379,0.258853,-0.223581,0.326597,-0.174389,0.188148,-0.117394,0.094365,0.005028,0.186394,0.114415,0.000112,-0.050541,0.064194,-0.042384,0.063046,0.02274,0.162312,-0.095538,0.167197,-0.142363,0.002315,-0.002036,-0.071885,0.506557,-0.012146,-0.13034,-0.00009,-0.190879
class_10,0.439783,-0.106952,0.076877,-0.09487,0.134597,-0.089422,0.236083,-0.090743,0.27961,-0.049864,0.153373,-0.062072,0.135149,-0.066011,0.213181,-0.084034,0.061073,-0.079663,0.081009,-0.080543,0.075089,-0.129853,0.077649,-0.10482,-0.002007,0.258997,0.151124,0.297959,0.018174,0.046323,-0.17126,-0.107427,-0.045064,-0.092438,-0.28912,-0.101102,0.327838,-0.089599,-0.064706,-0.086851,-0.121734,-0.549003,0.390092,-0.549577,0.429064,0.019943,0.04236,-0.067512,-0.054695,-0.01052,0.527327,-0.006112,0.004029
class_4,-0.209213,0.227754,-0.016018,0.145216,-0.364473,0.488054,0.018663,0.149687,-0.026977,0.190404,-0.036272,0.019921,-0.100057,0.035205,-0.106197,0.286266,-0.204948,0.133923,-0.224715,0.238933,0.074733,0.256724,0.018842,0.257553,0.187753,-0.095177,0.141716,-0.13646,-0.039795,0.282561,0.197372,0.063805,-0.044294,0.043015,-0.045708,-0.153734,-0.023514,-0.031422,0.043701,-0.038842,0.098704,0.302255,-0.503207,0.268066,-0.426958,0.004158,0.001902,-0.071773,-0.061225,-0.010465,-0.160325,-0.038253,-0.001337
class_9,0.020743,-0.044946,-0.099204,0.189307,-0.057686,0.441646,0.280586,0.859366,-0.147901,0.346147,0.065703,0.759453,0.043157,0.117234,0.109806,0.50458,0.059697,0.689706,-0.358018,0.728805,0.092684,0.432182,0.112447,0.569222,-0.12741,0.557589,-0.213176,0.429034,0.008851,0.040835,0.009133,0.538691,-0.129747,-0.11679,-0.020097,0.096266,0.111622,-0.155447,-0.033769,-0.152799,-0.092156,0.300945,-0.492651,0.271011,-0.441421,0.005377,0.006157,-0.071561,0.61449,-0.011764,-0.156916,-0.0029,0.003179
