@relation train_samples_wavelet1dl

@attribute label {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}
@attribute m1m numeric
@attribute m1s numeric
@attribute m2m numeric
@attribute m2s numeric
@attribute m3m numeric
@attribute m3s numeric
@attribute m4m numeric
@attribute m4s numeric
@attribute m5m numeric
@attribute m5s numeric
@attribute m6m numeric
@attribute m6s numeric
@attribute m7m numeric
@attribute m7s numeric
@attribute m8m numeric
@attribute m8s numeric
@attribute m9m numeric
@attribute m9s numeric
@attribute m10m numeric
@attribute m10s numeric
@attribute m11m numeric
@attribute m11s numeric
@attribute m12m numeric
@attribute m12s numeric
@attribute centm numeric
@attribute cents numeric
@attribute rollm numeric
@attribute rolls numeric
@attribute tonnm numeric
@attribute tonns numeric
@attribute zcrm numeric
@attribute zcrs numeric
@attribute tempom numeric
@attribute onsetm numeric
@attribute pitchm numeric
@attribute sam numeric
@attribute sbm numeric
@attribute kurtosis numeric
@attribute meauto numeric
@attribute skew numeric
@attribute timerev numeric

@data
class_9,0.17238,0.297419,0.02871,0.279291,0.343468,-0.04187,0.201295,0.008992,0.10277,0.013655,-0.054224,0.24343,0.168125,0.061032,0.389069,0.432683,0.359987,0.344177,0.479694,0.741257,0.366763,0.661367,-0.194498,0.688927,-0.341097,0.215817,-0.477179,0.211564,0.513614,0.430411,-0.258164,0.03291,0.276951,0.131986,-0.050541,-0.057314,0.561349,-0.01351,0.295246,0.002508,0.073866
class_3,-0.178411,-0.212344,-0.140995,-0.244001,-0.11399,-0.230858,-0.167022,-0.217378,-0.103222,-0.144633,-0.056237,-0.147686,-0.054383,-0.157273,-0.010374,-0.14423,-0.061011,-0.153212,-0.083292,-0.137415,-0.011464,-0.209393,-0.045648,-0.149974,-0.000786,-0.212277,0.063114,-0.203542,-0.046396,-0.139646,-0.027587,-0.183611,-0.061701,0.512926,-0.050541,-0.057293,-0.057804,-0.013681,-0.01339,0.002125,0.002214
class_1,0.360092,0.198473,0.205112,-0.016869,0.358698,-0.298169,0.122132,-0.111173,0.166764,-0.127972,0.112278,-0.19955,0.125267,-0.188595,0.085177,-0.114007,0.089949,-0.098624,0.067118,-0.106909,0.084157,-0.115739,0.065862,-0.273757,-0.486087,0.059709,-0.632729,0.041859,0.027316,-0.014735,-0.344974,-0.057191,0.276951,-0.153734,-0.050541,0.483994,-0.057839,-0.001598,-0.029221,0.015873,0.003418
class_3,-0.262235,-0.09678,0.029783,-0.170637,-0.188985,-0.197141,-0.015954,-0.16074,0.120064,-0.121795,-0.103963,-0.123931,-0.104452,-0.141022,0.061862,-0.153259,-0.064831,-0.147947,0.015318,-0.127105,0.015197,-0.205734,-0.086208,-0.145161,0.030818,-0.064825,0.025455,-0.029784,-0.075591,-0.150045,0.060775,-0.029567,0.015549,-0.153734,-0.050541,-0.057314,-0.057816,-0.013739,-0.014172,0.001186,0.00005
class_4,-0.109271,0.115997,0.168706,0.33612,0.055328,0.371255,-0.108599,0.357065,-0.196518,0.256017,-0.095731,0.212186,0.12494,0.401994,0.076193,0.368041,-0.084101,0.127589,-0.182796,0.353232,0.010045,0.394069,0.15455,0.484807,-0.002832,-0.093217,0.002395,-0.072642,-0.130087,0.430643,-0.04784,-0.020843,0.166594,0.068486,-0.050541,-0.057314,-0.057828,-0.013274,-0.072774,-0.000476,0.00202
class_7,0.086327,-0.270693,-0.067297,-0.288188,-0.014725,-0.251597,0.009995,-0.177,0.092049,-0.123447,-0.033534,-0.204175,-0.116585,-0.194275,-0.119224,-0.187387,0.039623,-0.080207,-0.040526,-0.094942,-0.151969,-0.217815,0.018657,-0.18889,0.036765,-0.229941,0.128785,-0.236611,0.314106,-0.074864,-0.15853,-0.220004,0.015549,-0.153734,-0.050541,-0.057293,-0.057804,-0.013596,0.00848,0.001214,0.003081
class_9,0.175918,0.297728,0.027003,0.292746,0.203928,0.135528,0.15399,-0.068764,0.001336,0.143797,-0.028373,0.263598,0.14854,0.201497,0.264886,0.255607,0.268323,0.418357,0.112885,0.159869,0.13827,0.02432,0.038866,-0.049575,-0.283564,0.391899,-0.359448,0.43727,-0.335414,0.386097,-0.21566,0.229738,0.121742,0.000112,-0.050541,-0.057314,0.593849,-0.013478,-0.018089,0.00254,-0.080397
class_10,0.322641,-0.002481,-0.160227,-0.168902,0.120958,-0.120654,0.231979,-0.076142,0.233008,-0.010998,0.090006,-0.090765,-0.261894,-0.08222,-0.006535,-0.094429,0.223727,-0.02046,0.135298,-0.025738,-0.354651,-0.161397,-0.010786,-0.174736,0.263644,0.087356,0.274844,-0.148391,-0.034735,-0.182503,0.193344,0.038965,-0.10243,-0.101102,0.327838,-0.057314,-0.057816,0.007975,-0.005393,-0.002589,0.002377
class_4,-0.050109,0.17521,0.349317,0.526923,-0.421192,0.317063,0.088283,0.245182,-0.007707,0.228787,-0.030637,0.07452,0.066861,0.236993,-0.01352,0.296511,-0.166833,0.113067,-0.154616,0.225134,0.238666,0.270341,0.05471,0.293056,0.038541,-0.103478,-0.017318,-0.083704,-0.033972,0.299472,0.046281,0.018199,-0.03838,-0.153734,-0.023514,-0.057293,-0.057816,-0.012654,-0.112875,-0.032524,-0.002405
class_9,0.293483,0.107119,0.136354,0.130704,0.132083,0.45414,0.265087,0.563827,-0.068623,0.407724,0.093863,0.287557,0.104142,0.139424,0.087119,0.188617,0.060035,0.456444,-0.265466,0.669742,0.179681,0.416242,0.131382,0.319232,-0.278902,0.514844,-0.399175,0.457289,0.075846,0.101433,-0.141685,0.550707,-0.10243,0.096266,0.111622,-0.057344,0.717747,-0.013289,-0.104754,-0.001298,0.002458
