@relation train_samples_wavelet2ap

@attribute label {class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10}
@attribute m1m numeric
@attribute m1s numeric
@attribute m2m numeric
@attribute m2s numeric
@attribute m3m numeric
@attribute m3s numeric
@attribute m4m numeric
@attribute m4s numeric
@attribute m5m numeric
@attribute m5s numeric
@attribute m6m numeric
@attribute m6s numeric
@attribute m7m numeric
@attribute m7s numeric
@attribute m8m numeric
@attribute m8s numeric
@attribute m9m numeric
@attribute m9s numeric
@attribute m10m numeric
@attribute m10s numeric
@attribute m11m numeric
@attribute m11s numeric
@attribute m12m numeric
@attribute m12s numeric
@attribute centm numeric
@attribute cents numeric
@attribute rollm numeric
@attribute rolls numeric
@attribute tonnm numeric
@attribute tonns numeric
@attribute zcrm numeric
@attribute zcrs numeric
@attribute tempom numeric
@attribute onsetm numeric
@attribute pitchm numeric
@attribute sam numeric
@attribute sbm numeric
@attribute kurtosis numeric
@attribute meauto numeric
@attribute skew numeric
@attribute timerev numeric

@data
class_9,-0.233065,0.556808,-0.267354,0.517683,-0.055797,0.055524,0.010243,0.324189,0.015582,0.316592,-0.069145,-0.051225,-0.136352,0.609722,0.030868,0.609733,0.259128,0.025418,0.23327,0.151635,-0.13066,0.523987,-0.206944,0.017595,-0.090879,0.542823,-0.217891,0.515538,0.038408,-0.002844,-0.035443,0.601494,-0.097364,0.131986,-0.050541,-0.071763,0.500958,-0.005698,-0.119903,-0.002934,-0.00333
class_3,0.063321,-0.190804,0.177902,-0.012156,-0.051681,-0.173796,-0.109906,-0.204846,-0.107769,-0.211475,0.043952,0.092141,0.232034,-0.169902,0.102402,-0.09845,-0.277309,-0.245749,-0.162617,-0.171091,0.258161,-0.160149,0.111326,0.008411,0.141816,-0.160375,0.220711,-0.177698,-0.032995,-0.194077,0.171061,-0.128407,-0.157365,0.512926,-0.050541,-0.072031,-0.060783,-0.023163,-0.01004,0.000962,-0.002559
class_1,-0.543902,0.04826,-0.580066,-0.090237,0.009139,0.039923,0.195951,0.095532,0.2033,0.099132,-0.118456,-0.032783,-0.516648,0.00837,-0.316031,-0.087937,0.303625,0.005093,0.165674,-0.078643,-0.438949,-0.034023,-0.181522,-0.258504,-0.469748,0.190482,-0.64041,0.164486,-0.035679,-0.081237,-0.428349,0.113639,0.234948,-0.153734,-0.050541,0.521895,-0.062974,0.232466,-0.20617,0.000591,-0.003259
class_9,-0.216986,0.606125,-0.284288,0.486533,-0.089302,0.205759,-0.010839,0.386599,-0.025478,0.423202,-0.065614,-0.00863,-0.112702,0.612282,0.018344,0.524853,0.161871,0.249304,0.164087,0.038824,-0.082625,0.579043,-0.192739,-0.031985,-0.061813,0.60464,-0.2354,0.512447,0.008319,0.038161,-0.018058,0.6307,0.18549,0.179606,-0.050541,-0.072937,0.510402,-0.021205,-0.177389,-0.001305,-0.003047
class_7,-0.307702,0.525367,-0.242163,0.769576,0.082246,-0.15149,0.176205,-0.122562,0.180757,-0.104917,0.005291,0.187914,-0.290298,0.357075,-0.185781,0.150017,0.127646,0.45426,0.066805,0.188161,-0.236758,0.34479,-0.035073,0.170532,-0.342703,0.158925,-0.413732,0.281476,-0.05789,-0.150983,-0.318211,0.078988,-0.082352,-0.153734,-0.050541,-0.072646,0.461992,-0.013093,0.072887,-0.015683,0.000369
class_4,0.078513,0.182482,0.10083,0.179277,-0.066764,0.067048,-0.101941,0.112496,-0.082754,0.091038,0.021345,-0.029307,0.11146,0.107956,0.13809,0.065521,0.07189,0.241837,0.08278,0.171873,0.071145,0.128457,0.085473,0.18771,0.139459,0.061267,0.197075,-0.03894,0.006439,0.089002,0.126233,0.195659,0.234948,-0.028734,-0.050541,-0.068275,-0.030399,-0.021548,-0.306852,-0.00465,0.0015
class_4,0.080521,-0.0091,0.092616,0.048294,-0.198427,-0.02436,-0.260813,-0.017903,-0.255272,-0.00233,-0.022659,-0.059998,0.296375,0.072085,0.310053,0.104995,-0.018932,0.079887,0.082791,0.168852,0.283235,0.031387,0.059329,0.262834,0.354237,-0.143799,0.286047,-0.17159,-0.005192,0.09897,0.403348,-0.084119,-0.028784,0.012932,0.003514,-0.073261,-0.054331,-0.022885,-0.26507,0.003098,-0.003523
class_3,0.02981,-0.181155,0.108295,-0.140039,-0.153975,-0.142287,-0.191058,-0.184947,-0.213253,-0.164049,-0.029979,-0.132948,0.275804,-0.18835,0.172345,-0.162256,-0.302178,-0.209514,-0.139392,-0.183628,0.303486,-0.229566,-0.001573,-0.109583,0.239027,-0.180445,0.25302,-0.201507,-0.029826,-0.158796,0.285037,-0.150184,-0.066052,0.096266,-0.050541,-0.073574,-0.062944,-0.023541,-0.151935,-0.000221,-0.004066
class_4,0.1269,0.057761,0.189044,0.039204,-0.065456,0.184267,-0.117906,0.115309,-0.120551,0.121475,0.047319,0.129776,0.205513,0.011139,0.201457,0.023474,-0.042013,0.313192,0.042878,0.205038,0.17161,0.085759,-0.060298,0.125105,0.190601,0.097288,0.171789,0.029657,-0.088602,0.160959,0.211065,0.215193,-0.167044,-0.058496,0.030541,-0.066598,-0.056978,-0.021542,-0.167391,0.005782,-0.00218
class_8,0.104038,-0.149579,0.150882,-0.151954,0.057772,-0.192824,-0.014723,-0.23246,-0.000913,-0.218807,0.03069,-0.139477,0.154273,-0.237258,0.062945,-0.159821,-0.127182,-0.209387,-0.103734,-0.177691,0.146877,-0.26578,0.021715,-0.051199,0.031505,-0.188901,0.144005,-0.160663,0.063969,0.011246,0.003936,-0.171298,-0.135938,0.512926,-0.050541,-0.073161,-0.062517,-0.024842,0.057141,-0.002311,-0.003134
